# time C ID fromHost toHost size ttl
1.8000 C floating0-2-13  c13 V0 48320 2147483647
6.6000 C floating1-7-76  w76 V0 8101 2147483647
28.4000 C floating2-28-53  w53 V0 21900 2147483647
42.2000 C floating3-42-7  c7 V0 8338 2147483647
54.6000 C floating4-55-42  w42 V0 31003 2147483647
56.0000 C floating5-56-91  p91 V0 49233 2147483647
74.5000 C floating6-75-108  p108 V0 42838 2147483647
107.8000 C floating7-108-122  p122 V0 47571 2147483647
153.2000 C floating8-153-58  w58 V0 32839 2147483647
214.6000 C floating9-215-123  p123 V0 27070 2147483647
230.1000 C floating10-230-104  p104 V0 22663 2147483647
265.7000 C floating11-266-35  c35 V0 12611 2147483647
285.7000 C floating12-286-101  p101 V0 17418 2147483647
291.9000 C floating13-292-24  c24 V0 31057 2147483647
313.8000 C floating14-314-1  c1 V0 4194 2147483647
323.2000 C floating15-323-21  c21 V0 40182 2147483647
340.0000 C floating16-340-70  w70 V0 22625 2147483647
411.1000 C floating17-411-119  p119 V0 25392 2147483647
417.1000 C floating18-417-80  w80 V0 46671 2147483647
434.1000 C floating19-434-72  w72 V0 43014 2147483647
469.8000 C floating20-470-3  c3 V0 41269 2147483647
474.6000 C floating21-475-66  w66 V0 8960 2147483647
512.3000 C floating22-512-94  p94 V0 42568 2147483647
544.1000 C floating23-544-38  c38 V0 29952 2147483647
560.4000 C floating24-560-60  w60 V0 38031 2147483647
575.7000 C floating25-576-112  p112 V0 8007 2147483647
577.3000 C floating26-577-52  w52 V0 35036 2147483647
617.8000 C floating27-618-46  w46 V0 35727 2147483647
678.6000 C floating28-679-34  c34 V0 25169 2147483647
680.0000 C floating29-680-83  t83 V0 20792 2147483647
711.9000 C floating30-712-48  w48 V0 34028 2147483647
713.3000 C floating31-713-97  p97 V0 16430 2147483647
716.3000 C floating32-716-62  w62 V0 44413 2147483647
726.7000 C floating33-727-0  V0 V0 20356 2147483647
748.2000 C floating34-748-6  c6 V0 34873 2147483647
764.4000 C floating35-764-28  c28 V0 9429 2147483647
821.8000 C floating36-822-14  c14 V0 11102 2147483647
836.0000 C floating37-836-85  t85 V0 33438 2147483647
838.6000 C floating38-839-115  p115 V0 45159 2147483647
889.7000 C floating39-890-27  c27 V0 24238 2147483647
909.7000 C floating40-910-93  p93 V0 20890 2147483647
915.9000 C floating41-916-16  c16 V0 7247 2147483647
917.3000 C floating42-917-65  w65 V0 44966 2147483647
920.4000 C floating43-920-30  c30 V0 6049 2147483647
957.8000 C floating44-958-59  w59 V0 8510 2147483647
974.7000 C floating45-975-51  w51 V0 16008 2147483647
991.0000 C floating46-991-73  w73 V0 22028 2147483647
994.6000 C floating47-995-117  p117 V0 48858 2147483647
1058.9000 C floating48-1059-105  p105 V0 41954 2147483647
1068.3000 C floating49-1068-125  p125 V0 24973 2147483647
1080.4000 C floating50-1080-111  p111 V0 19645 2147483647
